Livestock production – categories
"1. Large ruminants (cattle, buffalo)"
"2. Small ruminants (sheep, goats)"
3. Pigs
"4. Poultry (chickens, ducks, turkeys, etc.)"
"5. Equines (horses, donkeys, mules)"
"6. Camelids (camels, llamas, alpacas)"
7. Other livestock
